nim,limit_score,turunan_score,aplikasi_turunan_score,integral_tentu_score,teknik_integrasi_score,integral_lipat_score,total_score,jumlah_benar,jumlah_salah,waktu_detik,mudah_score,sedang_score,sulit_score,konsistensi_score,attempt_ke,level_quiz,label_kelompok,cluster,cluster_label
202300185,59.6,54.3,33.1,14.8,38.3,26.6,37.8,8,12,1482,57.0,24.0,32.4,16.88,3,Mudah,Beginner,1,Beginner
202300186,66.3,70.8,55.4,82.9,67.3,61.5,67.4,13,7,1016,68.6,69.2,64.4,9.29,1,Sedang,Intermediate,0,Intermediate
202300187,83.6,100.0,81.7,84.2,84.7,86.4,86.8,17,3,454,91.8,83.0,85.6,6.66,1,Sulit,Advanced,0,Intermediate
202300188,60.3,77.6,57.1,63.5,62.3,67.3,64.7,13,7,714,68.9,60.3,64.8,7.18,2,Sedang,Intermediate,0,Intermediate
202300189,73.8,46.4,60.2,66.2,69.2,43.0,59.8,12,8,1063,60.1,63.2,56.1,12.55,1,Sulit,Intermediate,0,Intermediate
202300190,36.7,28.3,47.5,39.3,35.5,35.3,37.1,7,13,1405,32.5,43.4,35.4,6.27,2,Sulit,Beginner,1,Beginner
202300191,55.5,47.1,42.4,46.2,29.6,40.3,43.5,9,11,1271,51.3,44.3,35.0,8.59,1,Sedang,Beginner,1,Beginner
202300192,92.6,87.5,79.0,82.5,93.7,72.7,84.7,17,3,729,90.0,80.8,83.2,8.16,1,Sulit,Advanced,0,Intermediate
202300193,82.6,95.1,76.7,84.5,76.3,91.3,84.4,17,3,434,88.8,80.6,83.8,7.62,1,Sulit,Advanced,0,Intermediate
202300194,74.9,60.8,45.6,50.5,65.4,57.1,59.0,12,8,1097,67.8,48.0,61.2,10.51,2,Mudah,Intermediate,0,Intermediate
202300195,25.4,21.1,32.7,33.9,34.2,26.5,29.0,6,14,1373,23.2,33.3,30.4,5.41,3,Mudah,Beginner,1,Beginner
202300196,31.9,34.6,34.3,16.6,49.9,36.7,34.0,7,13,1055,33.2,25.4,43.3,10.66,1,Mudah,Beginner,1,Beginner
202300197,67.8,52.9,66.5,50.8,24.8,69.1,55.3,11,9,1025,60.4,58.6,46.9,16.9,2,Sulit,Intermediate,0,Intermediate
202300198,74.5,75.4,82.8,80.0,86.4,72.0,78.5,16,4,523,75.0,81.4,79.2,5.5,4,Sulit,Advanced,0,Intermediate
202300199,89.2,80.8,69.7,69.6,67.7,100.0,79.5,16,4,439,85.0,69.6,83.8,13.03,2,Sulit,Advanced,0,Intermediate
202300200,75.6,47.8,56.0,58.8,72.7,67.2,63.0,13,7,721,61.7,57.4,70.0,10.66,3,Mudah,Intermediate,0,Intermediate
202300201,70.8,52.9,45.2,54.7,59.1,80.9,60.6,12,8,707,61.8,50.0,70.0,13.04,1,Mudah,Intermediate,0,Intermediate
202300202,21.0,53.0,37.5,51.9,25.8,30.2,36.6,7,13,1103,37.0,44.7,28.0,13.45,3,Sedang,Beginner,1,Beginner
202300203,42.2,29.8,35.4,36.8,32.7,4.8,30.3,6,14,1151,36.0,36.1,18.8,13.16,1,Mudah,Beginner,1,Beginner
202300204,75.4,86.9,74.4,82.6,84.3,85.5,81.5,16,4,664,81.2,78.5,84.9,5.33,1,Sedang,Advanced,0,Intermediate
202300205,67.1,55.5,53.4,58.8,48.6,59.5,57.2,11,9,886,61.3,56.1,54.0,6.28,1,Mudah,Intermediate,0,Intermediate
202300206,44.6,28.4,23.0,39.3,20.9,50.9,34.5,7,13,1062,36.5,31.2,35.9,12.23,2,Mudah,Beginner,1,Beginner
202300207,38.4,43.6,39.2,22.9,35.1,34.1,35.6,7,13,918,41.0,31.0,34.6,7.05,3,Sedang,Beginner,1,Beginner
202300208,61.5,70.9,89.8,39.1,64.0,61.1,64.4,13,7,963,66.2,64.4,62.6,16.41,1,Sedang,Intermediate,0,Intermediate
202300209,33.9,19.3,29.7,33.5,23.9,54.1,32.4,6,14,1137,26.6,31.6,39.0,12.05,3,Mudah,Beginner,1,Beginner
202300210,32.7,13.1,19.8,38.7,20.7,45.3,28.4,6,14,1079,22.9,29.2,33.0,12.47,3,Mudah,Beginner,1,Beginner
202300211,58.3,68.4,53.3,42.5,64.8,46.9,55.7,11,9,1120,63.4,47.9,55.8,10.08,2,Sulit,Intermediate,0,Intermediate
202300212,59.3,63.0,61.1,73.4,64.9,73.2,65.8,13,7,1048,61.2,67.2,69.1,6.09,1,Sedang,Intermediate,0,Intermediate
202300213,56.7,61.1,55.1,61.2,46.6,81.9,60.4,12,8,1115,58.9,58.2,64.2,11.79,2,Sedang,Intermediate,0,Intermediate
202300214,47.2,55.0,43.5,34.7,33.3,30.7,40.7,8,12,1197,51.1,39.1,32.0,9.44,2,Sedang,Beginner,1,Beginner
202300215,52.3,51.7,79.3,37.7,61.1,56.7,56.5,11,9,679,52.0,58.5,58.9,13.68,1,Mudah,Intermediate,0,Intermediate
202300216,48.2,20.0,44.1,34.8,35.9,35.7,36.5,7,13,1318,34.1,39.4,35.8,9.7,4,Sedang,Beginner,1,Beginner
202300217,49.1,27.1,20.7,24.2,38.3,29.1,31.4,6,14,1024,38.1,22.4,33.7,10.5,1,Sedang,Beginner,1,Beginner
202300218,73.5,62.1,69.1,62.7,59.4,64.9,65.3,13,7,865,67.8,65.9,62.2,5.17,1,Sedang,Intermediate,0,Intermediate
202300219,69.9,54.4,47.7,63.6,57.6,68.4,60.3,12,8,639,62.2,55.6,63.0,8.6,3,Mudah,Intermediate,0,Intermediate
202300220,90.9,86.9,94.7,87.9,84.4,68.3,85.5,17,3,816,88.9,91.3,76.4,9.15,1,Sulit,Advanced,0,Intermediate
202300221,64.7,70.7,67.6,61.0,70.4,61.8,66.0,13,7,676,67.7,64.3,66.1,4.2,2,Sulit,Intermediate,0,Intermediate
202300222,57.1,61.7,63.1,72.7,56.1,76.4,64.5,13,7,1142,59.4,67.9,66.2,8.29,1,Mudah,Intermediate,0,Intermediate
202300223,22.1,43.9,20.2,31.7,30.5,35.6,30.7,6,14,1419,33.0,26.0,33.0,8.76,2,Mudah,Beginner,1,Beginner
202300224,25.3,45.6,43.1,29.0,47.1,40.7,38.5,8,12,1179,35.4,36.0,43.9,9.11,1,Sedang,Beginner,1,Beginner
202300225,40.2,38.6,33.8,29.2,29.4,34.7,34.3,7,13,1347,39.4,31.5,32.0,4.55,2,Sedang,Beginner,1,Beginner
202300226,35.8,33.4,63.8,48.0,28.1,42.9,42.0,8,12,1272,34.6,55.9,35.5,12.79,2,Sedang,Beginner,1,Beginner
202300227,86.4,81.4,93.0,76.0,85.2,72.7,82.4,16,4,805,83.9,84.5,79.0,7.38,2,Sedang,Advanced,0,Intermediate
202300228,44.5,18.5,24.3,27.8,34.7,27.8,29.6,6,14,1159,31.5,26.0,31.2,9.01,2,Sedang,Beginner,1,Beginner
202300229,80.1,80.9,82.2,78.3,85.4,60.7,77.9,16,4,797,80.5,80.2,73.1,8.77,3,Sedang,Advanced,0,Intermediate
202300230,67.8,52.5,52.1,78.3,73.1,60.2,64.0,13,7,877,60.2,65.2,66.6,10.86,1,Mudah,Intermediate,0,Intermediate
202300231,88.0,59.7,50.7,62.8,45.8,66.7,62.3,12,8,1165,73.8,56.8,56.2,14.79,2,Sedang,Intermediate,0,Intermediate
202300232,53.5,71.1,53.6,46.9,64.0,51.7,56.8,11,9,892,62.3,50.2,57.8,8.96,2,Sulit,Intermediate,0,Intermediate
202300233,53.3,76.5,67.6,64.3,74.4,58.5,65.8,13,7,878,64.9,65.9,66.4,8.98,3,Sedang,Intermediate,0,Intermediate
202300234,70.7,65.2,58.7,57.4,66.1,55.3,62.2,12,8,1071,68.0,58.0,60.7,5.99,1,Sedang,Intermediate,0,Intermediate
202300235,39.4,36.3,39.0,34.7,67.3,13.1,38.3,8,12,1393,37.8,36.8,40.2,17.29,2,Sedang,Beginner,1,Beginner
202300236,62.6,66.5,56.1,60.9,75.8,45.7,61.3,12,8,933,64.6,58.5,60.8,10.09,3,Sedang,Intermediate,0,Intermediate
202300237,41.6,42.0,45.8,32.4,37.2,30.2,38.2,8,12,1008,41.8,39.1,33.7,6.04,1,Sedang,Beginner,1,Beginner
202300238,23.9,45.4,40.2,27.8,27.4,56.5,36.9,7,13,1181,34.6,34.0,42.0,12.72,3,Sedang,Beginner,1,Beginner
202300239,87.7,48.5,63.3,59.8,45.1,42.4,57.8,12,8,1181,68.1,61.6,43.8,16.81,1,Mudah,Intermediate,0,Intermediate
202300240,31.1,27.9,37.0,28.9,20.8,29.2,29.2,6,14,1352,29.5,33.0,25.0,5.23,3,Sulit,Beginner,1,Beginner
202300241,86.8,96.0,72.6,96.2,83.7,74.8,85.0,17,3,809,91.4,84.4,79.2,10.09,3,Sulit,Advanced,0,Intermediate
202300242,100.0,74.7,94.3,90.7,80.1,77.0,86.1,17,3,436,87.4,92.5,78.6,10.3,2,Sulit,Advanced,0,Intermediate
202300243,76.5,76.0,83.0,77.2,100.0,81.3,82.3,16,4,645,76.2,80.1,90.6,9.1,1,Sulit,Advanced,0,Intermediate
202300244,23.8,44.3,21.7,17.7,34.1,30.7,28.7,6,14,1288,34.0,19.7,32.4,9.7,1,Sedang,Beginner,1,Beginner
202300245,55.8,58.5,28.7,46.2,24.8,34.6,41.4,8,12,1398,57.2,37.4,29.7,14.18,4,Mudah,Beginner,1,Beginner
202300246,82.0,78.7,73.6,89.5,79.3,77.6,80.1,16,4,444,80.4,81.6,78.4,5.35,1,Sedang,Advanced,0,Intermediate
202300247,73.8,45.5,61.6,52.4,68.3,61.1,60.5,12,8,1111,59.6,57.0,64.7,10.29,1,Sulit,Intermediate,0,Intermediate
202300248,91.9,99.1,57.0,85.7,97.6,80.7,85.3,17,3,683,95.5,71.4,89.2,15.54,2,Sedang,Advanced,0,Intermediate
202300249,87.9,72.7,83.2,67.5,82.1,75.9,78.2,16,4,515,80.3,75.4,79.0,7.54,1,Mudah,Advanced,0,Intermediate
202300250,99.3,84.8,65.8,86.4,82.8,87.3,84.4,17,3,572,92.0,76.1,85.0,10.8,1,Sulit,Advanced,0,Intermediate
202300251,37.3,38.2,49.3,25.4,50.2,26.0,37.7,8,12,1069,37.8,37.3,38.1,10.76,1,Sedang,Beginner,1,Beginner
202300252,52.0,35.5,39.9,47.2,45.5,23.2,40.6,8,12,1219,43.8,43.6,34.4,10.26,1,Mudah,Beginner,1,Beginner
202300253,90.7,85.8,68.8,90.5,70.4,86.9,82.2,16,4,445,88.2,79.6,78.6,9.95,1,Sulit,Advanced,0,Intermediate
202300254,55.0,34.7,44.0,14.9,33.9,15.8,33.1,7,13,995,44.8,29.4,24.8,15.7,2,Sedang,Beginner,1,Beginner
202300255,51.4,33.9,79.8,46.1,32.6,50.3,49.0,10,10,1388,42.6,63.0,41.4,17.1,2,Mudah,Beginner,1,Beginner
202300256,62.6,76.7,68.8,76.1,42.4,65.0,65.3,13,7,680,69.6,72.4,53.7,12.57,3,Sulit,Intermediate,0,Intermediate
202300257,83.3,83.7,83.6,87.8,90.6,90.8,86.6,17,3,532,83.5,85.7,90.7,3.56,2,Sedang,Advanced,0,Intermediate
202300258,59.9,62.1,57.5,57.9,49.9,36.4,54.0,11,9,872,61.0,57.7,43.2,9.53,2,Mudah,Intermediate,0,Intermediate
202300259,74.9,71.6,62.4,60.9,53.1,71.8,65.8,13,7,910,73.2,61.6,62.4,8.36,1,Mudah,Intermediate,0,Intermediate
202300260,39.4,41.9,37.9,42.9,50.5,29.7,40.4,8,12,1358,40.6,40.4,40.1,6.82,3,Mudah,Beginner,1,Beginner
202300261,62.7,42.9,48.6,54.6,48.0,32.1,48.2,10,10,868,52.8,51.6,40.0,10.38,1,Sedang,Intermediate,1,Beginner
202300262,100.0,78.0,89.5,80.8,78.6,85.0,85.3,17,3,799,89.0,85.2,81.8,8.39,1,Sulit,Advanced,0,Intermediate
202300263,38.7,69.0,38.9,33.1,48.7,39.7,44.7,9,11,1271,53.8,36.0,44.2,12.93,2,Sedang,Beginner,1,Beginner
202300264,79.0,70.2,65.9,58.6,67.7,72.3,69.0,14,6,668,74.6,62.2,70.0,6.81,1,Sedang,Intermediate,0,Intermediate
202300265,84.5,70.2,99.4,74.9,78.1,75.6,80.4,16,4,495,77.4,87.2,76.8,10.4,3,Sulit,Advanced,0,Intermediate
202300266,66.9,51.9,67.8,67.0,63.6,47.3,60.8,12,8,862,59.4,67.4,55.4,8.88,1,Mudah,Intermediate,0,Intermediate
202300267,61.7,56.4,75.4,66.2,81.7,54.2,65.9,13,7,838,59.0,70.8,68.0,10.81,2,Mudah,Intermediate,0,Intermediate
202300268,57.1,59.6,65.9,73.5,73.4,69.9,66.6,13,7,1046,58.4,69.7,71.6,6.99,1,Sulit,Intermediate,0,Intermediate
202300269,31.7,35.0,36.4,20.2,55.1,42.0,36.7,7,13,1248,33.4,28.3,48.6,11.55,4,Mudah,Beginner,1,Beginner
202300270,28.7,39.2,41.0,33.3,35.2,20.6,33.0,7,13,1133,34.0,37.2,27.9,7.48,1,Mudah,Beginner,1,Beginner
202300271,82.8,68.3,83.9,91.0,82.4,87.5,82.6,17,3,502,75.6,87.4,85.0,7.76,1,Sulit,Advanced,0,Intermediate
202300272,90.4,100.0,97.8,78.3,75.5,91.7,89.0,18,2,529,95.2,88.0,83.6,10.04,1,Sedang,Advanced,0,Intermediate
202300273,93.4,80.3,84.2,97.1,73.1,72.6,83.4,17,3,696,86.8,90.6,72.8,10.2,1,Sulit,Advanced,0,Intermediate
202300274,60.4,79.9,85.2,92.8,98.5,67.3,80.7,16,4,623,70.2,89.0,82.9,14.67,1,Sedang,Advanced,0,Intermediate
202300275,59.2,60.2,81.1,66.2,65.1,74.8,67.8,14,6,909,59.7,73.6,69.9,8.57,2,Mudah,Intermediate,0,Intermediate
202300276,64.0,67.9,56.7,54.9,74.3,52.3,61.7,12,8,702,66.0,55.8,63.3,8.51,1,Sedang,Intermediate,0,Intermediate
202300277,57.6,68.4,49.9,52.5,52.9,90.5,62.0,12,8,998,63.0,51.2,71.7,15.44,1,Sedang,Intermediate,0,Intermediate
202300278,64.3,59.6,62.3,76.2,62.9,63.1,64.7,13,7,1112,62.0,69.2,63.0,5.83,1,Sedang,Intermediate,0,Intermediate
202300279,64.3,59.9,63.3,35.1,55.1,46.6,54.0,11,9,755,62.1,49.2,50.8,11.32,3,Sedang,Intermediate,0,Intermediate
202300280,60.5,61.4,52.1,69.1,81.1,72.8,66.2,13,7,895,61.0,60.6,76.9,10.28,2,Sulit,Intermediate,0,Intermediate
202300281,70.5,84.7,62.5,88.7,70.0,88.2,77.4,15,5,888,77.6,75.6,79.1,11.15,2,Sulit,Advanced,0,Intermediate
202300282,40.2,43.1,20.8,23.8,40.4,14.7,30.5,6,14,1100,41.7,22.3,27.6,12.16,3,Mudah,Beginner,1,Beginner
202300283,40.3,41.8,51.8,32.2,51.7,38.9,42.8,9,11,1257,41.0,42.0,45.3,7.68,2,Mudah,Beginner,1,Beginner
202300284,46.2,26.9,55.5,54.6,51.6,42.5,46.2,9,11,954,36.6,55.0,47.0,10.7,1,Mudah,Beginner,1,Beginner
202300285,72.8,72.8,74.7,53.0,49.7,73.2,66.0,13,7,964,72.8,63.8,61.4,11.44,1,Sulit,Intermediate,0,Intermediate
202300286,44.3,58.7,40.3,35.1,47.6,43.4,44.9,9,11,954,51.5,37.7,45.5,7.97,3,Sulit,Beginner,1,Beginner
202300287,69.3,69.5,56.6,69.4,66.8,80.3,68.6,14,6,1176,69.4,63.0,73.6,7.56,4,Mudah,Intermediate,0,Intermediate
202300288,78.5,64.6,51.8,77.2,50.1,79.0,66.9,13,7,1029,71.6,64.5,64.6,13.44,2,Sedang,Intermediate,0,Intermediate
202300289,46.1,47.1,24.8,45.9,40.5,24.4,38.1,8,12,1373,46.6,35.4,32.4,10.73,1,Mudah,Beginner,1,Beginner
202300290,76.0,65.7,65.5,62.6,56.4,70.1,66.0,13,7,1022,70.8,64.0,63.2,6.65,1,Mudah,Intermediate,0,Intermediate
202300291,52.6,35.5,34.1,20.7,44.5,54.5,40.3,8,12,1254,44.0,27.4,49.5,12.78,2,Mudah,Beginner,1,Beginner
202300292,23.5,48.4,31.6,61.0,51.1,33.8,41.6,8,12,1170,36.0,46.3,42.4,14.15,2,Mudah,Beginner,1,Beginner
202300293,78.9,65.4,73.0,73.3,90.1,87.9,78.1,16,4,832,72.2,73.2,89.0,9.5,1,Sedang,Advanced,0,Intermediate
202300294,35.7,43.2,51.0,40.6,12.1,19.9,33.8,7,13,1474,39.4,45.8,16.0,14.82,4,Mudah,Beginner,1,Beginner
202300295,16.9,34.0,43.6,41.7,16.9,33.8,31.1,6,14,1199,25.4,42.7,25.3,11.73,2,Sedang,Beginner,1,Beginner
202300296,35.5,77.1,59.9,79.0,70.1,76.5,66.4,13,7,1159,56.3,69.4,73.3,16.65,3,Mudah,Intermediate,0,Intermediate
202300297,61.7,62.2,66.7,54.3,41.7,68.1,59.1,12,8,950,62.0,60.5,54.9,9.81,2,Sedang,Intermediate,0,Intermediate
202300298,46.2,19.3,52.0,61.2,40.9,49.2,44.8,9,11,1223,32.8,56.6,45.0,14.2,3,Mudah,Beginner,1,Beginner
202300299,56.7,67.5,68.5,66.5,62.0,75.9,66.2,13,7,873,62.1,67.5,69.0,6.47,2,Mudah,Intermediate,0,Intermediate
202300300,26.4,47.9,20.1,18.4,57.2,40.3,35.1,7,13,1026,37.2,19.2,48.8,15.87,2,Mudah,Beginner,1,Beginner
202300301,54.3,46.8,38.3,35.3,37.6,34.4,41.1,8,12,902,50.6,36.8,36.0,7.81,2,Mudah,Beginner,1,Beginner
202300302,61.2,63.1,80.5,63.9,86.9,60.2,69.3,14,6,745,62.2,72.2,73.6,11.41,2,Sedang,Intermediate,0,Intermediate
202300303,42.6,73.5,75.6,48.8,58.3,67.8,61.1,12,8,906,58.0,62.2,63.0,13.49,2,Mudah,Intermediate,0,Intermediate
202300304,53.9,75.0,60.2,59.6,67.1,62.2,63.0,13,7,828,64.4,59.9,64.6,7.26,4,Sedang,Intermediate,0,Intermediate
202300305,54.2,74.5,58.0,52.0,58.2,68.0,60.8,12,8,869,64.4,55.0,63.1,8.66,2,Mudah,Intermediate,0,Intermediate
202300306,96.5,76.7,75.6,70.4,100.0,80.2,83.2,17,3,891,86.6,73.0,90.1,12.1,2,Sulit,Advanced,0,Intermediate
202300307,64.9,53.7,62.1,73.8,57.6,52.6,60.8,12,8,810,59.3,68.0,55.1,7.94,3,Sulit,Intermediate,0,Intermediate
202300308,54.2,33.2,19.9,33.4,31.3,26.1,33.0,7,13,1171,43.7,26.6,28.7,11.59,1,Mudah,Beginner,1,Beginner
202300309,55.8,55.0,78.8,66.8,49.7,51.8,59.6,12,8,680,55.4,72.8,50.8,11.09,1,Sedang,Intermediate,0,Intermediate
202300310,45.4,30.7,27.4,37.1,28.9,45.3,35.8,7,13,929,38.0,32.2,37.1,8.1,2,Mudah,Beginner,1,Beginner
202300311,72.8,53.8,49.0,42.2,72.1,44.5,55.7,11,9,1065,63.3,45.6,58.3,13.55,2,Sedang,Intermediate,0,Intermediate
202300312,37.9,50.7,38.7,41.9,32.9,35.3,39.6,8,12,1242,44.3,40.3,34.1,6.25,3,Mudah,Beginner,1,Beginner
202300313,46.6,22.3,50.8,24.1,53.3,42.2,39.9,8,12,1356,34.4,37.4,47.8,13.48,2,Mudah,Beginner,1,Beginner
202300314,88.6,72.6,66.8,79.5,81.4,91.7,80.1,16,4,492,80.6,73.2,86.6,9.4,1,Sulit,Advanced,0,Intermediate
202300315,93.1,85.8,87.4,78.6,79.8,79.4,84.0,17,3,694,89.4,83.0,79.6,5.75,1,Sulit,Advanced,0,Intermediate
202300316,53.9,40.6,26.1,66.6,71.9,74.8,55.6,11,9,752,47.2,46.3,73.4,19.25,1,Sedang,Intermediate,0,Intermediate
202300317,64.6,52.8,65.3,58.5,66.8,70.9,63.2,13,7,737,58.7,61.9,68.8,6.46,2,Sedang,Intermediate,0,Intermediate
202300318,34.9,41.1,39.4,34.6,30.4,43.2,37.3,7,13,907,38.0,37.0,36.8,4.78,3,Mudah,Beginner,1,Beginner
202300319,59.3,31.7,47.5,36.6,21.1,47.7,40.6,8,12,978,45.5,42.0,34.4,13.59,1,Sulit,Beginner,1,Beginner
202300320,51.0,24.7,24.8,31.4,37.0,37.6,34.4,7,13,1086,37.8,28.1,37.3,9.88,2,Sedang,Beginner,1,Beginner
202300321,63.4,83.4,67.4,55.5,52.4,52.3,62.4,12,8,670,73.4,61.4,52.4,11.97,2,Mudah,Intermediate,0,Intermediate
202300322,54.8,58.1,59.8,78.0,68.6,46.3,60.9,12,8,1192,56.4,68.9,57.4,11.06,1,Sulit,Intermediate,0,Intermediate
202300323,44.0,56.3,43.0,52.1,68.4,49.6,52.2,10,10,785,50.2,47.6,59.0,9.36,1,Sedang,Intermediate,1,Beginner
202300324,46.5,45.4,30.4,3.9,47.0,31.6,34.1,7,13,978,46.0,17.2,39.3,16.61,4,Sedang,Beginner,1,Beginner
202300325,91.6,100.0,86.4,85.7,100.0,76.4,90.0,18,2,516,95.8,86.1,88.2,9.15,1,Sulit,Advanced,0,Intermediate
202300326,41.2,58.9,62.0,62.4,66.1,49.4,56.7,11,9,953,50.0,62.2,57.8,9.46,1,Mudah,Intermediate,0,Intermediate
202300327,73.6,44.2,55.1,55.0,74.0,74.3,62.7,13,7,638,58.9,55.0,74.2,12.96,1,Sedang,Intermediate,0,Intermediate
202300328,65.8,54.4,66.6,70.7,47.6,79.0,64.0,13,7,1117,60.1,68.6,63.3,11.32,2,Mudah,Intermediate,0,Intermediate
202300329,67.0,60.9,61.3,56.9,53.0,69.4,61.4,12,8,1177,64.0,59.1,61.2,6.11,2,Mudah,Intermediate,0,Intermediate
202300330,46.0,45.1,21.1,38.5,52.9,34.4,39.7,8,12,1048,45.6,29.8,43.6,11.12,2,Mudah,Beginner,1,Beginner
202300331,25.5,37.9,40.4,69.7,27.4,53.3,42.4,8,12,1170,31.7,55.0,40.3,16.73,1,Sedang,Beginner,1,Beginner
202300332,83.2,61.9,76.1,65.4,65.7,46.7,66.5,13,7,613,72.6,70.8,56.2,12.54,3,Mudah,Intermediate,0,Intermediate
202300333,38.8,33.5,24.0,36.1,45.2,55.1,38.8,8,12,1284,36.2,30.0,50.2,10.59,2,Mudah,Beginner,1,Beginner
202300334,43.1,31.7,28.7,42.2,37.0,44.7,37.9,8,12,1148,37.4,35.4,40.8,6.57,2,Sedang,Beginner,1,Beginner
202300335,28.5,23.1,38.1,35.0,20.7,54.7,33.4,7,13,1062,25.8,36.6,37.7,12.41,2,Mudah,Beginner,1,Beginner
202300336,49.6,44.4,37.3,49.8,41.7,48.6,45.2,9,11,1024,47.0,43.6,45.2,5.05,2,Mudah,Beginner,1,Beginner
202300337,83.1,85.7,74.2,86.2,79.3,100.0,84.8,17,3,734,84.4,80.2,89.6,8.71,2,Sedang,Advanced,0,Intermediate
202300338,37.4,64.9,60.3,68.5,70.9,69.5,61.9,12,8,850,51.2,64.4,70.2,12.6,3,Sedang,Intermediate,0,Intermediate
202300339,50.3,62.9,56.2,60.4,46.9,84.1,60.1,12,8,708,56.6,58.3,65.5,13.19,1,Sedang,Intermediate,0,Intermediate
202300340,25.0,33.5,33.6,26.7,39.7,36.2,32.4,6,14,1313,29.2,30.2,38.0,5.61,3,Mudah,Beginner,1,Beginner
202300341,67.1,48.5,71.0,65.9,78.2,68.8,66.6,13,7,939,57.8,68.4,73.5,9.87,2,Sulit,Intermediate,0,Intermediate
202300342,63.1,78.4,70.1,66.6,64.8,61.4,67.4,13,7,1115,70.8,68.4,63.1,6.17,3,Sedang,Intermediate,0,Intermediate
202300343,42.5,55.2,48.7,33.8,29.9,25.8,39.3,8,12,970,48.8,41.2,27.8,11.42,1,Mudah,Beginner,1,Beginner
202300344,49.6,64.4,79.3,52.9,49.5,67.5,60.5,12,8,1071,57.0,66.1,58.5,11.96,2,Sedang,Intermediate,0,Intermediate
202300345,38.0,31.8,52.5,36.9,40.0,38.8,39.7,8,12,1304,34.9,44.7,39.4,6.9,1,Mudah,Beginner,1,Beginner
202300346,49.9,77.1,71.4,40.1,72.6,46.7,59.6,12,8,669,63.5,55.8,59.6,15.84,3,Sedang,Intermediate,0,Intermediate
202300347,78.0,56.8,60.7,57.0,78.5,68.7,66.6,13,7,1017,67.4,58.8,73.6,9.99,1,Mudah,Intermediate,0,Intermediate
202300348,32.8,44.0,45.4,34.2,34.4,48.9,39.9,8,12,1165,38.4,39.8,41.6,6.95,2,Mudah,Beginner,1,Beginner
202300349,57.2,7.8,17.0,27.3,27.7,45.4,30.4,6,14,1467,32.5,22.2,36.6,18.17,2,Sedang,Beginner,1,Beginner
202300350,68.2,47.0,64.2,66.3,90.0,58.2,65.6,13,7,685,57.6,65.2,74.1,14.18,1,Mudah,Intermediate,0,Intermediate
202300351,69.5,58.0,73.9,67.1,67.0,45.0,63.4,13,7,986,63.8,70.5,56.0,10.41,2,Sedang,Intermediate,0,Intermediate
202300352,80.3,90.9,74.2,86.0,78.4,84.0,82.3,16,4,603,85.6,80.1,81.2,5.92,2,Sulit,Advanced,0,Intermediate
202300353,61.3,66.6,60.5,70.7,45.8,66.7,61.9,12,8,1174,64.0,65.6,56.2,8.76,2,Sedang,Intermediate,0,Intermediate
202300354,42.2,29.7,41.7,39.6,48.1,28.5,38.3,8,12,1098,36.0,40.7,38.3,7.67,3,Mudah,Beginner,1,Beginner
202300355,40.9,42.4,46.5,33.9,34.0,45.7,40.6,8,12,1477,41.6,40.2,39.8,5.52,1,Sedang,Beginner,1,Beginner
202300356,42.4,54.6,73.0,59.1,55.2,57.2,56.9,11,9,1141,48.5,66.0,56.2,9.82,2,Mudah,Intermediate,0,Intermediate
202300357,46.0,38.4,43.2,38.1,34.8,32.0,38.8,8,12,1062,42.2,40.7,33.4,5.18,2,Sedang,Beginner,1,Beginner
202300358,38.0,54.9,67.0,46.7,72.2,61.4,56.7,11,9,1082,46.4,56.8,66.8,12.82,1,Sedang,Intermediate,0,Intermediate
202300359,92.5,86.5,98.7,96.0,84.8,79.8,89.7,18,2,898,89.5,97.4,82.3,7.22,1,Sulit,Advanced,0,Intermediate
202300360,57.1,72.5,62.0,64.1,66.0,68.2,65.0,13,7,752,64.8,63.0,67.1,5.29,2,Sulit,Intermediate,0,Intermediate
202300361,30.5,39.9,37.3,50.1,33.3,41.1,38.7,8,12,1162,35.2,43.7,37.2,6.86,2,Sulit,Beginner,1,Beginner
202300362,78.0,66.4,45.6,63.3,57.4,57.4,61.4,12,8,912,72.2,54.4,57.4,10.82,2,Sulit,Intermediate,0,Intermediate
202300363,63.2,57.7,53.4,60.0,85.0,54.6,62.3,12,8,777,60.4,56.7,69.8,11.67,2,Sedang,Intermediate,0,Intermediate
202300364,71.3,52.2,48.4,54.5,47.8,55.7,55.0,11,9,609,61.8,51.4,51.8,8.6,1,Sedang,Intermediate,0,Intermediate
202300365,86.3,83.1,86.7,88.5,86.0,74.7,84.2,17,3,526,84.7,87.6,80.4,4.98,1,Sedang,Advanced,0,Intermediate
202300366,49.4,26.9,29.5,17.9,40.5,33.7,33.0,7,13,1069,38.2,23.7,37.1,10.98,2,Sedang,Beginner,1,Beginner
202300367,91.4,68.9,99.8,73.4,80.8,83.4,83.0,17,3,633,80.2,86.6,82.1,11.39,1,Sulit,Advanced,0,Intermediate
202300368,96.8,100.0,76.3,79.0,73.0,83.5,84.8,17,3,502,98.4,77.6,78.2,11.15,1,Sedang,Advanced,0,Intermediate
202300369,29.8,35.3,36.9,44.9,36.0,36.3,36.5,7,13,1424,32.6,40.9,36.2,4.84,2,Sulit,Beginner,1,Beginner
202300370,34.7,43.6,44.7,28.6,34.6,37.9,37.4,7,13,1323,39.2,36.7,36.2,6.08,2,Sedang,Beginner,1,Beginner
