limit_score,turunan_score,aplikasi_turunan_score,integral_tentu_score,teknik_integrasi_score,integral_lipat_score
69.0,48.9,45.5,7.3,43.2,26.9
100.0,78.4,93.5,72.0,64.0,74.7
46.9,56.6,57.0,32.5,37.1,42.7
44.8,54.3,33.3,31.5,15.7,0.0
30.2,21.8,15.3,20.1,25.1,20.3
72.1,84.4,78.2,73.0,53.7,58.3
57.5,62.1,69.9,91.5,59.4,49.3
24.1,22.0,20.0,21.9,19.3,24.1
38.1,43.4,36.2,43.4,43.6,43.7
45.5,24.6,39.8,63.0,39.5,24.4
53.0,82.1,37.5,43.1,69.7,52.6
100.0,80.2,84.0,100.0,73.7,61.6
50.2,92.4,51.8,58.2,42.9,56.2
83.9,44.3,52.0,65.3,24.3,22.8
50.7,76.1,70.9,65.0,40.2,65.3
32.4,32.9,21.3,28.5,36.5,8.3
27.8,43.6,38.4,34.3,50.8,27.7
93.2,52.1,50.6,45.6,33.6,68.7
81.3,64.0,47.4,67.0,58.3,51.5
72.7,72.6,71.9,83.7,74.9,56.2
49.4,52.9,59.5,53.3,62.3,73.6
