nim,limit_score,turunan_score,aplikasi_turunan_score,integral_tentu_score,teknik_integrasi_score,integral_lipat_score,total_score,jumlah_benar,jumlah_salah,waktu_detik,mudah_score,sedang_score,sulit_score,konsistensi_score,attempt_ke,level_quiz,label_referensi
202300206,54.6,50.9,42.7,34.8,15.6,44.6,40.5,9,11,1350,68.0,54.3,43.2,14.01,2,Mudah,Pemula
202300207,48.9,56.5,60.4,62.7,43.0,27.4,49.8,9,11,1414,59.9,38.2,32.7,13.21,2,Sedang,Pemula
202300208,42.4,75.5,90.4,38.6,68.4,70.0,64.2,11,9,1130,84.2,67.4,44.2,19.98,2,Mudah,Menengah
202300209,47.5,50.8,24.0,45.0,11.3,31.4,35.0,10,10,917,53.6,30.3,31.6,15.5,3,Sedang,Pemula
202300210,86.5,62.4,57.6,62.5,51.4,63.0,63.9,10,10,1124,83.3,50.5,41.8,11.93,2,Sedang,Menengah
202300211,49.8,79.5,65.4,66.3,53.4,55.1,61.6,13,7,1228,65.8,60.9,38.8,11.01,1,Sulit,Menengah
202300212,62.8,61.7,71.5,46.1,65.5,28.8,56.1,10,10,1139,67.8,55.0,39.7,15.79,1,Sedang,Menengah
202300213,26.2,43.2,40.5,41.7,26.8,26.9,34.2,7,13,1237,59.2,40.8,35.4,8.35,1,Mudah,Pemula
202300214,78.5,64.3,74.0,56.3,74.8,54.9,67.1,13,7,870,100.0,74.7,80.6,10.1,1,Sulit,Mahir
202300215,83.4,82.5,82.0,52.5,58.7,41.9,66.8,13,7,1006,64.9,68.7,39.2,18.13,1,Sedang,Menengah
202300216,66.2,75.6,55.8,60.4,44.6,60.7,60.6,11,9,1397,74.7,67.2,49.3,10.35,3,Sedang,Menengah
202300217,59.6,49.1,47.5,32.9,30.3,31.7,41.8,6,14,1543,60.1,44.4,14.9,11.97,1,Sedang,Pemula
202300218,9.6,9.0,2.5,32.4,15.9,0.0,11.6,3,17,1334,37.8,28.9,7.9,11.66,1,Sulit,Pemula
202300219,100.0,80.0,81.4,95.0,84.2,71.0,85.3,18,2,1050,94.8,89.4,71.5,10.58,1,Mudah,Mahir
202300220,62.3,59.6,25.7,38.6,50.3,55.6,48.7,8,12,1061,66.2,51.0,37.2,14.04,2,Sedang,Pemula
202300221,50.6,53.1,31.4,51.0,50.5,43.6,46.7,7,13,1318,58.1,50.5,38.6,8.16,2,Sulit,Pemula
202300222,80.0,52.4,75.0,68.2,45.6,52.4,62.3,14,6,1366,71.4,74.3,55.8,14.03,2,Mudah,Menengah
202300223,62.0,77.6,56.3,47.0,66.6,55.7,60.9,10,10,875,69.4,50.5,55.1,10.53,4,Sulit,Menengah
202300224,97.9,71.8,74.4,80.9,89.8,73.8,81.4,16,4,1101,92.8,66.3,61.9,10.41,4,Mudah,Mahir
202300225,30.9,59.6,20.4,32.2,20.9,49.7,35.6,3,17,1391,35.2,31.9,17.3,15.85,3,Mudah,Pemula
202300226,90.2,85.1,78.4,75.8,80.0,62.5,78.7,14,6,1076,96.9,83.3,69.2,9.44,3,Mudah,Mahir
202300227,43.5,53.8,54.3,47.1,37.2,19.6,42.6,12,8,1506,48.3,46.7,29.5,12.97,1,Sulit,Pemula
202300228,62.2,91.2,83.1,70.3,67.3,99.2,78.9,13,7,1401,94.6,70.9,61.4,14.62,2,Sulit,Menengah
202300229,90.2,59.2,41.8,39.6,40.1,47.7,53.1,8,12,1045,96.6,73.7,58.1,19.6,1,Mudah,Menengah
202300230,47.9,31.6,25.6,13.5,56.9,6.0,30.2,12,8,1373,46.7,30.4,27.4,19.56,3,Mudah,Pemula
202300231,40.2,33.3,34.6,34.3,11.4,10.7,27.4,6,14,1325,46.8,31.2,1.1,12.91,1,Mudah,Pemula
202300232,72.9,79.9,59.5,48.6,72.3,15.2,58.1,7,13,1032,69.3,51.7,41.6,23.78,1,Mudah,Menengah
202300233,99.9,67.0,80.8,87.4,68.1,69.8,78.8,12,8,1038,96.2,86.8,70.2,13.1,1,Sedang,Mahir
202300234,56.0,43.3,72.4,73.5,49.4,65.3,60.0,13,7,1236,86.6,48.6,39.7,12.42,2,Mudah,Menengah
202300235,100.0,93.5,75.5,57.1,87.6,50.8,77.4,13,7,1054,91.3,82.5,65.3,19.99,2,Mudah,Mahir
202300236,73.2,82.9,81.1,59.5,91.4,69.9,76.3,13,7,853,96.5,74.0,69.6,11.2,1,Mudah,Mahir
202300237,82.3,52.8,53.0,86.0,51.3,56.9,63.7,11,9,1065,68.3,57.3,57.1,15.98,2,Sedang,Menengah
202300238,100.0,63.8,94.0,85.3,85.0,43.9,78.7,13,7,947,100.0,86.1,68.9,21.0,1,Sedang,Mahir
202300239,37.9,38.7,28.3,31.8,32.6,21.8,31.8,6,14,1112,36.6,43.8,32.9,6.29,3,Sedang,Pemula
202300240,72.0,33.5,42.5,21.5,28.4,28.2,37.7,7,13,1327,48.5,25.7,21.6,18.2,1,Sedang,Pemula
202300241,99.9,100.0,88.2,74.1,69.3,71.2,83.8,16,4,1061,97.9,79.5,68.5,14.17,1,Sulit,Mahir
202300242,100.0,88.5,100.0,66.0,90.8,79.3,87.4,16,4,1150,94.4,73.9,73.3,13.07,2,Sedang,Mahir
202300243,40.8,61.6,34.9,42.9,13.9,2.7,32.8,9,11,1170,51.2,20.2,18.1,21.27,2,Sulit,Pemula
202300244,63.4,61.3,78.4,59.7,72.8,61.4,66.2,10,10,1046,81.3,60.9,56.5,7.61,3,Sedang,Menengah
202300245,71.0,66.2,91.5,83.8,56.5,53.4,70.4,12,8,1318,77.2,75.5,58.7,15.0,2,Mudah,Menengah
202300246,88.9,91.9,69.3,72.3,83.2,79.1,80.8,12,8,1010,100.0,80.3,53.7,8.97,4,Sulit,Mahir
202300247,74.2,46.8,44.1,25.3,59.5,41.4,48.6,8,12,1203,55.8,54.5,23.9,16.69,1,Sedang,Menengah
202300248,53.5,48.9,42.5,40.9,47.5,40.9,45.7,13,7,1161,73.6,51.7,35.5,5.11,1,Sedang,Menengah
202300249,27.0,38.2,40.5,9.2,36.2,15.5,27.8,3,17,1440,55.1,38.3,6.9,12.95,4,Mudah,Pemula
202300250,82.7,79.2,75.1,60.6,46.9,65.3,68.3,13,7,1308,74.2,55.7,63.8,13.41,1,Sedang,Menengah
202300251,67.3,84.0,58.3,35.1,55.1,53.6,58.9,15,5,1304,73.8,59.2,54.5,16.19,3,Sulit,Menengah
202300252,100.0,84.5,91.2,100.0,72.5,79.0,87.9,17,3,969,100.0,79.8,72.6,11.24,1,Mudah,Mahir
202300253,60.3,42.1,24.9,29.0,32.4,52.3,40.2,8,12,1078,62.2,41.0,23.9,13.96,2,Mudah,Menengah
202300254,51.8,44.7,29.9,44.9,35.7,27.1,39.0,5,15,1551,51.3,43.4,33.7,9.66,1,Mudah,Pemula
202300255,42.4,48.7,70.5,66.2,57.2,61.0,57.7,11,9,1331,63.5,50.1,28.9,10.6,2,Sedang,Pemula
202300256,54.2,53.1,56.6,55.7,53.5,68.7,57.0,10,10,1089,65.6,77.7,36.2,5.9,3,Sulit,Menengah
202300257,63.9,88.5,72.9,82.1,92.9,82.9,80.5,17,3,1241,87.8,71.7,63.7,10.58,1,Sedang,Mahir
202300258,44.4,50.1,62.9,44.9,28.7,17.2,41.4,10,10,1205,43.8,33.9,17.2,16.16,1,Sulit,Pemula
202300259,42.3,55.2,41.6,0.0,24.7,0.0,27.3,4,16,1523,40.8,23.8,19.5,23.26,1,Sedang,Pemula
202300260,59.0,65.2,66.4,69.5,54.6,65.4,63.4,15,5,1370,72.5,58.3,57.4,5.48,1,Sedang,Menengah
202300261,22.6,53.9,52.3,42.7,24.3,35.5,38.6,6,14,1052,66.6,47.6,42.8,13.48,1,Mudah,Pemula
202300262,77.0,100.0,81.1,69.5,79.6,74.9,80.4,15,5,1039,100.0,98.1,80.2,10.45,4,Mudah,Mahir
202300263,59.7,27.3,30.6,23.0,24.2,52.1,36.2,9,11,1399,63.5,34.5,27.2,15.71,1,Sedang,Pemula
202300264,55.3,69.6,37.0,48.3,71.0,30.8,52.0,10,10,1598,54.1,52.0,35.0,16.55,1,Mudah,Pemula
202300265,97.2,80.8,71.2,60.2,72.8,69.3,75.2,13,7,882,100.0,80.2,58.4,12.62,2,Mudah,Mahir
202300266,49.8,44.0,55.9,57.6,43.7,53.9,50.8,10,10,1415,66.3,42.5,33.6,5.99,1,Sulit,Pemula
202300267,60.2,31.2,58.3,21.6,49.0,5.5,37.6,10,10,1266,58.2,34.8,16.5,21.89,1,Sedang,Pemula
202300268,38.1,65.2,42.5,15.9,53.4,27.9,40.5,13,7,1055,59.2,38.2,19.7,17.61,2,Mudah,Pemula
202300269,47.4,45.2,6.8,47.5,56.0,49.5,42.1,8,12,1225,55.6,43.1,19.5,17.67,2,Sedang,Pemula
202300270,100.0,82.4,63.2,63.4,43.7,41.5,65.7,15,5,1126,77.3,66.2,47.0,22.52,3,Sedang,Pemula
202300271,74.2,35.5,81.7,25.1,20.2,48.3,47.5,7,13,1054,55.5,44.3,34.8,25.59,1,Sulit,Pemula
202300272,37.6,46.2,53.3,24.0,37.3,46.3,40.8,9,11,1339,52.7,33.3,28.8,10.2,2,Sedang,Pemula
202300273,39.5,81.8,36.3,57.3,50.3,42.9,51.4,10,10,1372,49.5,34.7,19.4,16.75,3,Mudah,Pemula
202300274,66.4,55.8,64.7,65.2,57.5,23.3,55.5,13,7,1173,79.5,64.6,39.8,16.36,3,Mudah,Menengah
202300275,66.6,38.2,49.2,51.8,72.8,41.1,53.3,8,12,1052,73.9,55.2,42.5,13.81,4,Mudah,Menengah
202300276,56.8,59.1,22.0,61.5,53.4,48.4,50.2,6,14,1198,57.4,51.6,36.3,14.55,1,Sedang,Pemula
202300277,55.4,37.3,37.7,30.7,20.3,13.8,32.5,5,15,1257,52.8,49.4,21.8,14.67,4,Sedang,Pemula
202300278,91.6,65.6,68.8,59.3,59.4,49.8,65.8,15,5,1146,77.7,63.4,47.6,14.24,3,Sedang,Menengah
202300279,90.5,80.2,71.1,79.0,89.2,79.0,81.5,17,3,1179,100.0,75.9,76.1,7.25,3,Sedang,Mahir
202300280,100.0,87.9,66.6,68.4,58.6,91.6,78.9,16,4,1035,100.0,84.6,79.4,16.5,2,Mudah,Mahir
202300281,41.1,41.8,41.8,33.2,45.4,32.8,39.4,10,10,1017,64.3,45.4,26.6,5.15,4,Mudah,Pemula
202300282,52.6,22.7,18.3,24.4,17.2,16.7,25.3,6,14,1251,37.0,24.2,0.3,13.72,1,Mudah,Pemula
202300283,49.8,51.8,50.9,43.0,28.3,41.9,44.3,6,14,1258,62.4,40.7,30.7,8.87,2,Sedang,Pemula
202300284,44.4,23.6,19.2,18.4,19.8,26.6,25.3,5,15,1481,51.2,37.1,12.8,9.84,2,Sedang,Pemula
202300285,59.5,42.8,63.4,63.0,48.1,38.6,52.6,13,7,1381,62.8,57.8,39.2,10.81,2,Sulit,Menengah
202300286,58.9,62.8,52.7,45.6,60.2,73.7,59.0,12,8,1408,69.1,60.2,47.1,9.5,3,Mudah,Menengah
202300287,54.5,33.1,58.9,36.2,26.5,23.9,38.8,7,13,1277,54.2,29.0,30.2,14.58,1,Sedang,Pemula
202300288,52.5,30.2,17.8,33.3,28.4,29.4,31.9,8,12,1411,54.0,38.3,18.7,11.37,1,Mudah,Pemula
202300289,73.6,74.5,56.5,69.2,49.5,61.6,64.2,12,8,859,72.3,62.6,63.2,10.02,1,Sedang,Menengah
202300290,24.7,14.7,36.0,1.6,27.3,18.5,20.5,7,13,1385,40.3,32.1,20.6,11.82,2,Mudah,Pemula
202300291,69.1,80.2,100.0,88.6,90.4,77.5,84.3,19,1,842,98.4,82.0,72.2,10.92,2,Sedang,Mahir
202300292,26.0,37.1,52.1,20.9,21.7,32.0,31.6,8,12,1274,50.2,22.7,14.3,11.79,3,Mudah,Pemula
202300293,64.8,73.1,86.0,98.2,79.6,90.9,82.1,19,1,1488,100.0,83.3,78.0,12.15,3,Mudah,Mahir
202300294,47.7,59.3,43.7,30.0,40.3,43.6,44.1,8,12,1296,47.5,45.6,28.7,9.57,2,Sedang,Pemula
202300295,91.6,98.0,60.9,76.3,51.4,77.4,75.9,12,8,894,100.0,82.4,84.2,17.68,1,Mudah,Mahir
202300296,82.6,82.7,89.2,100.0,86.6,62.5,83.9,15,5,1045,91.4,87.4,76.8,12.29,2,Sedang,Mahir
202300297,58.6,90.7,72.0,75.2,100.0,67.1,77.3,17,3,917,85.1,69.5,76.2,15.37,3,Mudah,Mahir
202300298,77.3,63.8,53.5,85.0,59.9,91.2,71.8,14,6,905,87.2,82.5,63.6,14.98,2,Sulit,Mahir
202300299,70.7,75.3,81.0,68.2,69.5,68.1,72.1,13,7,1397,80.4,76.1,60.5,5.09,3,Mudah,Mahir
202300300,96.0,91.1,49.6,57.1,62.2,40.3,66.0,10,10,1293,76.7,54.5,49.1,22.6,4,Sedang,Menengah
202300301,69.2,81.0,83.5,81.7,94.9,82.3,82.1,15,5,1063,95.5,76.4,72.0,8.17,1,Sulit,Mahir
202300302,29.4,15.4,26.1,48.5,46.0,2.5,28.0,2,18,1201,52.1,40.9,25.7,17.66,2,Sedang,Pemula
202300303,86.4,69.7,68.6,55.2,29.4,58.8,61.4,12,8,1073,71.8,67.6,58.9,19.05,2,Mudah,Menengah
202300304,78.2,92.1,59.1,45.9,57.1,64.2,66.1,15,5,1360,80.9,60.9,54.5,16.52,2,Sedang,Menengah
202300305,100.0,91.7,100.0,85.9,100.0,72.2,91.6,20,0,1022,99.8,93.5,72.5,11.14,1,Mudah,Mahir
202300306,58.1,69.5,62.7,52.7,62.4,55.0,60.1,11,9,668,77.0,43.8,41.1,6.09,1,Sedang,Menengah
202300307,42.9,32.3,49.0,21.6,8.9,0.0,25.8,7,13,1696,44.7,24.5,3.5,19.19,1,Sedang,Pemula
202300308,77.7,36.4,46.9,57.7,53.0,41.4,52.2,14,6,1190,64.7,42.0,55.2,14.67,2,Sedang,Menengah
202300309,41.4,51.9,39.5,47.3,20.2,37.1,39.6,10,10,1302,45.9,35.7,21.7,10.92,1,Sulit,Pemula
202300310,65.7,22.1,44.4,40.7,58.1,50.9,47.0,11,9,1381,61.7,59.3,40.7,15.2,1,Mudah,Pemula
202300311,46.2,65.7,49.8,54.7,36.8,67.0,53.4,9,11,1211,66.8,74.8,50.3,11.65,2,Mudah,Menengah
202300312,55.1,65.7,46.7,29.3,42.8,38.5,46.4,8,12,1331,53.9,49.6,35.1,12.78,1,Sedang,Menengah
202300313,38.7,1.1,17.0,47.0,15.9,14.9,22.4,4,16,1263,45.2,23.6,7.3,17.04,3,Sedang,Pemula
202300314,33.1,19.4,27.2,44.2,15.8,13.9,25.6,3,17,1098,37.5,32.6,10.2,11.63,1,Mudah,Pemula
202300315,44.9,27.1,13.2,37.6,47.5,44.6,35.8,6,14,1328,58.6,39.4,11.3,13.32,1,Sedang,Pemula
202300316,35.7,36.8,3.0,15.4,25.6,15.2,22.0,4,16,1506,52.1,26.2,31.5,13.19,4,Sedang,Pemula
202300317,36.4,41.3,21.7,44.4,31.7,7.7,30.5,5,15,1154,54.0,36.3,24.1,13.74,3,Sulit,Pemula
202300318,63.0,79.4,70.9,68.0,39.8,31.5,58.8,14,6,1016,68.9,71.2,57.0,18.86,2,Sedang,Menengah
202300319,42.9,65.9,19.7,52.1,12.8,54.8,41.4,6,14,1411,65.9,40.0,41.9,20.91,3,Mudah,Pemula
202300320,94.2,91.3,59.4,91.8,57.8,66.0,76.8,12,8,949,93.6,74.4,64.7,17.43,1,Mudah,Mahir
202300321,65.7,83.3,91.2,100.0,68.1,69.9,79.7,14,6,962,88.6,78.8,69.7,14.03,3,Sedang,Mahir
202300322,72.1,71.8,58.8,47.5,67.4,50.1,61.3,13,7,1045,81.1,67.9,54.2,10.83,1,Mudah,Menengah
202300323,27.6,21.8,30.9,3.7,8.7,5.9,16.4,7,13,1314,33.2,24.9,1.5,11.8,2,Mudah,Pemula
202300324,65.3,82.2,66.2,49.5,74.4,74.7,68.7,15,5,856,69.5,65.9,52.0,11.29,1,Mudah,Menengah
202300325,72.8,82.4,97.6,100.0,75.0,45.5,78.9,16,4,912,90.8,87.8,75.6,19.88,3,Sedang,Mahir
202300326,81.8,80.7,35.8,75.7,49.4,39.9,60.5,10,10,1164,78.2,75.8,46.6,21.22,1,Sulit,Menengah
202300327,100.0,100.0,91.9,86.3,73.2,87.9,89.9,18,2,990,100.0,90.1,76.7,10.04,1,Mudah,Mahir
202300328,61.1,80.5,34.7,51.8,62.0,53.0,57.2,13,7,1329,79.6,59.0,45.9,15.06,1,Mudah,Menengah
202300329,85.3,78.7,100.0,62.9,100.0,48.3,79.2,16,4,1342,83.8,86.1,78.1,20.61,2,Sedang,Menengah
202300330,24.0,49.0,21.4,52.1,4.4,9.1,26.7,6,14,1511,55.9,34.6,8.2,19.92,1,Mudah,Pemula
202300331,55.5,24.7,36.7,49.6,45.0,41.1,42.1,9,11,1314,68.7,46.1,45.7,10.74,2,Sulit,Menengah
202300332,68.5,42.4,22.4,34.9,51.2,9.6,38.2,7,13,1233,48.8,42.2,21.8,20.9,1,Sedang,Pemula
202300333,65.3,55.8,40.1,57.5,43.4,33.4,49.2,9,11,1061,72.9,64.1,39.2,12.15,3,Sedang,Menengah
202300334,88.1,79.1,95.5,78.1,83.8,82.3,84.5,17,3,1027,92.8,81.8,65.3,6.47,1,Sulit,Mahir
202300335,58.4,58.2,73.4,21.1,49.7,21.7,47.1,10,10,1337,53.0,42.1,31.1,21.31,4,Sedang,Pemula
202300336,88.5,67.5,66.5,65.4,64.8,58.7,68.6,15,5,1233,80.6,56.2,59.4,10.24,1,Mudah,Menengah
202300337,16.7,24.5,14.7,55.8,47.5,24.5,30.6,9,11,1385,48.9,35.2,18.9,16.98,1,Sedang,Pemula
202300338,55.5,75.5,40.3,79.8,77.7,76.0,67.5,12,8,1067,82.0,77.6,64.6,15.97,1,Sedang,Menengah
202300339,55.5,56.3,49.7,51.5,63.2,35.0,51.9,11,9,1337,59.6,39.5,42.0,9.49,1,Sedang,Pemula
202300340,87.2,93.9,90.1,97.6,82.2,94.2,90.9,16,4,1160,96.4,88.5,83.9,5.56,2,Sulit,Mahir
202300341,67.3,45.5,34.4,35.8,28.7,26.9,39.8,3,17,1378,58.2,41.0,23.8,14.99,1,Mudah,Pemula
202300342,92.8,100.0,91.3,82.8,70.2,79.7,86.1,17,3,955,99.0,84.9,81.3,10.68,3,Sedang,Mahir
202300343,58.3,66.3,70.0,81.5,73.8,48.8,66.4,13,7,925,81.5,75.3,65.1,11.59,2,Mudah,Mahir
202300344,53.4,58.3,60.0,61.1,44.3,19.1,49.4,10,10,996,73.6,64.2,43.4,16.05,1,Mudah,Menengah
202300345,49.1,96.9,76.1,61.2,62.3,79.2,70.8,12,8,919,97.1,81.7,55.7,16.82,2,Sedang,Mahir
202300346,82.5,64.9,68.6,76.4,77.9,77.5,74.6,11,9,1039,98.7,76.8,57.4,6.56,1,Sedang,Mahir
202300347,84.0,89.4,89.2,92.0,72.8,73.3,83.4,17,3,1102,91.0,68.6,68.6,8.47,1,Sedang,Mahir
202300348,39.2,38.8,44.2,30.0,36.3,29.8,36.4,7,13,1040,49.4,40.7,23.6,5.64,1,Mudah,Pemula
202300349,95.3,73.9,79.9,91.5,96.7,77.0,85.7,16,4,973,92.1,70.8,54.0,9.95,1,Mudah,Menengah
202300350,71.4,33.0,47.9,33.5,24.5,30.1,40.1,7,13,1306,38.4,51.7,28.8,17.19,1,Sedang,Pemula
202300351,66.6,66.6,47.9,77.6,52.7,68.6,63.3,15,5,963,84.3,78.7,54.5,10.99,4,Sedang,Menengah
202300352,18.7,61.9,16.2,44.5,41.8,41.4,37.4,12,8,1339,41.1,52.3,30.4,17.23,2,Sulit,Pemula
202300353,82.8,48.7,60.8,54.8,61.6,73.4,63.7,11,9,1070,69.0,56.9,54.0,12.46,4,Sedang,Menengah
202300354,76.7,50.9,53.8,37.1,68.7,45.8,55.5,7,13,1006,74.0,67.0,43.6,14.7,1,Sulit,Menengah
202300355,87.4,51.6,77.0,63.0,65.9,47.1,65.3,14,6,1114,92.7,71.8,56.9,15.16,3,Sulit,Menengah
202300356,86.9,86.0,83.5,74.0,61.3,35.0,71.1,18,2,1142,94.1,75.3,62.7,20.16,1,Mudah,Menengah
202300357,65.4,67.9,79.7,52.3,44.6,79.3,64.9,13,7,926,91.1,70.4,57.1,14.19,1,Sedang,Menengah
202300358,100.0,87.5,89.7,72.9,64.7,84.3,83.2,13,7,953,100.0,93.5,62.5,12.59,3,Sedang,Mahir
202300359,58.3,62.9,71.1,50.0,34.5,66.7,57.2,14,6,1175,69.4,66.5,55.2,13.3,1,Sulit,Menengah
202300360,73.1,45.6,67.1,60.7,51.4,82.4,63.4,15,5,1041,71.0,57.0,36.1,13.69,1,Sedang,Menengah
202300361,70.9,84.9,90.2,88.9,56.1,81.2,78.7,18,2,739,93.3,71.8,78.4,13.06,3,Sedang,Mahir
202300362,42.1,76.1,41.9,27.1,55.9,22.9,44.3,11,9,974,55.7,51.1,28.4,19.55,2,Sedang,Pemula
202300363,78.1,59.0,68.8,54.8,40.0,42.1,57.1,10,10,1156,61.0,44.2,42.6,14.86,2,Sedang,Pemula
202300364,43.6,31.7,48.3,39.9,28.2,22.7,35.7,9,11,1040,52.7,44.7,10.0,9.8,1,Sulit,Pemula
202300365,83.6,83.6,65.7,33.7,41.2,59.5,61.2,15,5,1034,87.5,70.0,57.3,20.89,1,Sulit,Menengah
202300366,88.5,66.6,45.8,59.6,65.2,54.1,63.3,11,9,1370,68.3,67.2,64.0,14.52,4,Mudah,Menengah
202300367,95.6,72.8,93.3,100.0,74.3,77.3,85.6,17,3,745,100.0,88.7,70.8,12.06,1,Mudah,Mahir
202300368,84.9,73.6,83.6,42.5,46.6,31.2,60.4,14,6,1066,73.5,70.2,51.6,23.14,1,Sedang,Menengah
202300369,37.0,54.4,37.0,40.3,53.0,48.6,45.1,8,12,1616,49.1,36.1,17.1,7.94,1,Sedang,Pemula
202300370,62.8,100.0,88.2,93.2,93.1,79.4,86.1,17,3,1057,100.0,74.5,67.9,13.3,3,Sulit,Mahir
202300371,45.7,43.2,26.0,25.0,40.2,32.3,35.4,6,14,1168,52.7,49.4,31.5,8.9,3,Mudah,Menengah
202300372,54.0,46.2,42.6,36.0,51.9,45.7,46.1,13,7,1218,57.7,37.0,17.3,6.49,2,Sulit,Pemula
202300373,26.2,22.6,9.8,0.0,12.4,14.8,14.3,3,17,1481,27.2,5.2,0.0,9.37,4,Sedang,Pemula
202300374,13.2,36.3,23.5,48.0,35.5,24.5,30.2,6,14,1603,38.0,20.8,11.5,12.24,1,Mudah,Pemula
202300375,43.4,43.1,70.8,40.7,35.8,42.2,46.0,10,10,1156,54.3,45.1,25.4,12.46,3,Mudah,Pemula
202300376,37.5,29.4,39.0,46.5,69.0,32.4,42.3,9,11,1118,56.4,42.7,20.2,14.34,1,Sedang,Pemula
202300377,73.1,77.6,73.7,97.5,67.2,82.4,78.6,20,0,816,86.6,62.3,72.4,10.55,1,Mudah,Mahir
202300378,48.0,74.0,68.0,60.0,71.9,61.3,63.9,12,8,1164,72.8,56.0,51.5,9.57,1,Sulit,Menengah
202300379,50.4,23.5,31.7,36.4,40.9,37.6,36.8,6,14,977,61.9,57.8,27.7,9.01,4,Sedang,Pemula
202300380,58.3,68.3,52.0,44.4,62.9,47.3,55.5,12,8,1065,70.4,56.9,39.0,9.26,3,Sedang,Menengah
202300381,88.4,81.1,91.6,79.0,83.1,78.6,83.6,15,5,895,100.0,75.3,57.8,5.29,2,Mudah,Menengah
202300382,100.0,90.6,78.8,73.5,88.3,68.0,83.2,16,4,1173,99.5,90.3,74.8,11.9,1,Sulit,Mahir
202300383,85.4,100.0,68.0,37.5,67.2,80.1,73.0,15,5,908,96.7,90.6,75.0,21.22,1,Sedang,Mahir
202300384,71.0,66.4,92.9,81.1,68.9,66.2,74.4,16,4,1127,87.6,79.9,66.2,10.58,1,Sulit,Menengah
202300385,44.0,11.6,54.7,21.5,67.5,31.9,38.5,8,12,997,48.8,21.5,21.9,20.93,1,Sedang,Pemula
202300386,79.9,75.1,86.3,93.0,67.5,52.7,75.8,16,4,1053,89.4,90.1,59.5,14.32,1,Sedang,Mahir
202300387,56.6,72.3,55.3,71.3,59.1,52.3,61.2,9,11,933,74.4,66.8,56.8,8.54,2,Sulit,Menengah
202300388,79.6,81.2,82.2,66.3,77.3,78.4,77.5,15,5,934,89.3,100.0,66.9,5.77,2,Sedang,Mahir
202300389,34.4,18.0,20.6,19.0,21.4,7.9,20.2,7,13,1671,46.8,25.0,12.4,8.49,3,Sedang,Pemula
202300390,86.7,61.2,53.4,51.7,100.0,64.1,69.5,14,6,1158,92.7,69.4,58.9,19.49,2,Mudah,Mahir
202300391,58.1,82.9,45.9,49.5,33.3,47.3,52.8,8,12,1128,70.4,58.6,42.2,16.75,1,Mudah,Menengah
202300392,58.3,61.7,41.6,56.2,40.2,47.1,50.8,14,6,1733,57.1,44.5,38.2,9.11,2,Sedang,Pemula
202300393,45.5,76.8,52.0,90.0,83.6,59.4,67.9,14,6,974,95.0,67.8,46.2,18.12,1,Mudah,Menengah
202300394,63.4,75.6,40.5,73.8,64.5,15.1,55.5,14,6,1318,71.3,68.8,55.0,23.41,2,Sedang,Menengah
202300395,37.0,42.1,50.3,38.0,67.9,35.0,45.0,5,15,1019,40.8,38.6,5.8,12.44,3,Sulit,Pemula
202300396,73.3,56.8,68.9,55.5,46.6,46.5,57.9,8,12,1074,68.7,62.7,48.4,11.16,1,Sedang,Menengah
202300397,85.8,84.0,100.0,76.2,80.3,82.5,84.8,15,5,767,100.0,89.7,72.9,8.15,1,Mudah,Mahir
202300398,21.8,30.4,29.5,69.5,25.6,26.2,33.8,8,12,1343,55.0,31.2,26.5,17.74,3,Sedang,Pemula
202300399,46.6,91.0,62.4,52.9,43.3,39.1,55.9,11,9,1168,66.7,54.4,35.8,19.03,2,Mudah,Menengah
202300400,78.4,83.0,69.2,94.7,43.4,55.9,70.8,13,7,1033,91.3,76.9,62.3,18.73,2,Sulit,Menengah
202300401,59.0,32.7,21.6,53.1,42.7,27.0,39.4,9,11,1452,55.6,45.9,26.8,14.82,2,Sedang,Pemula
202300402,56.1,80.1,83.2,56.8,84.0,83.4,73.9,12,8,953,88.8,83.5,58.9,13.61,2,Sedang,Mahir
202300403,93.8,73.7,99.1,70.6,70.6,85.1,82.2,15,5,1040,97.7,84.0,70.6,12.41,1,Sedang,Mahir
202300404,75.3,66.9,45.7,30.2,40.2,49.5,51.3,9,11,1371,58.3,28.3,28.0,16.87,3,Sedang,Pemula
202300405,80.5,71.4,76.0,63.6,54.9,70.5,69.5,15,5,810,94.6,74.3,53.0,9.12,4,Mudah,Mahir
202300406,88.0,100.0,80.2,74.4,85.4,85.9,85.6,13,7,875,100.0,78.8,69.0,8.58,1,Mudah,Mahir
202300407,37.0,58.7,33.8,78.5,17.8,15.7,40.2,4,16,1237,55.1,44.2,38.4,24.34,1,Sedang,Pemula
202300408,80.6,92.5,72.9,67.6,80.1,89.8,80.6,16,4,1091,97.8,80.2,76.5,9.54,2,Sulit,Mahir
202300409,29.4,50.8,38.7,53.2,67.4,23.4,43.8,12,8,1460,70.3,44.3,27.4,16.39,2,Mudah,Pemula
202300410,50.9,79.0,63.9,83.7,83.7,85.1,74.4,16,4,1009,91.5,68.7,64.8,13.94,1,Mudah,Mahir
202300411,80.9,64.7,78.2,57.4,43.1,38.0,60.4,14,6,1059,84.2,56.0,57.1,17.7,2,Mudah,Menengah
202300412,64.4,48.9,68.2,56.0,44.9,40.1,53.8,11,9,993,78.4,69.7,54.6,11.09,2,Sedang,Menengah
